,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_id,exp_stage,block_num,stimulus_duration,cue_location,stim_location,condition,correct_response,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,attention_check_percent
940,,html-keyboard-response,940,642394,0.0-3.2-140.2,,"<div class = bigbox><div id=right_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1000.0,,,test,2.0,1000.0,both,right,doublecue,.,"[',', '.']",0.0,,,,
941,,html-keyboard-response,941,642787,0.0-3.2-141.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,390.53080031984723,,,test,2.0,390.53080031984723,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
942,,html-keyboard-response,942,643291,0.0-3.2-142.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_1,500.0,,,test,,500.0,,,,,,,,,,
943,,html-keyboard-response,943,643796,0.0-3.2-143.2,,"<div class = bigbox><div id=right_box></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,2.0,500.0,,,,,,,,,,
944,,html-keyboard-response,944,644494,0.0-3.2-144.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_2,691.0,,,test,,691.0,,,,,,,,,,
945,,html-keyboard-response,945,645500,0.0-3.2-145.2,,"<div class = bigbox><div id=right_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1000.0,,,test,2.0,1000.0,none,right,nocue,.,"[',', '.']",0.0,,,,
946,,html-keyboard-response,946,645927,0.0-3.2-146.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,423.31055487897333,,,test,2.0,423.31055487897333,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
947,,html-keyboard-response,947,646432,0.0-3.2-147.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_1,500.0,,,test,,500.0,,,,,,,,,,
948,,html-keyboard-response,948,646934,0.0-3.2-148.2,,"<div class = bigbox><div id=right_box></div></div><div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,2.0,500.0,,,,,,,,,,
949,,html-keyboard-response,949,647632,0.0-3.2-149.2,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation_2,691.0,,,test,,691.0,,,,,,,,,,
