,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,condition,choices,stimulus_duration,correct_spatial_judgement_key,num_block,spatial_location,correct_trial,spatial_sequence,ITIParams,attention_check_question,current_key_answer,correct_response,exp_id,attention_check_percent
54,,html-keyboard-response,54,136520,0.0-3.0-17.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,8.0,,,,,,,,
55,,html-keyboard-response,55,139527,0.0-3.0-18.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
56,,html-keyboard-response,56,140535,0.0-3.0-19.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,3.0,,,,,,,,
57,,html-keyboard-response,57,145541,0.0-3.0-20.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>","[3, 9, 8, 3]",test_response,5000.0,,test,0.0,storage-only,['NO_KEYS'],5000.0,,,,0.0,"[7, 9, 8, 3]",,,,,,
58,,html-keyboard-response,58,151245,0.0-3.0-21.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,5697.236298786216,,test,0.0,,,5697.236298786216,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,,
59,,html-keyboard-response,59,154251,0.0-3.0-22.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
60,,html-keyboard-response,60,155258,0.0-3.0-23.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,3.0,,,,,,,,
61,,html-keyboard-response,61,158265,0.0-3.0-24.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
62,,html-keyboard-response,62,159272,0.0-3.0-25.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,15.0,,,,,,,,
63,,html-keyboard-response,63,162278,0.0-3.0-26.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
