,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,block_num,correct_response,condition,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
107,,html-keyboard-response,107,102213,0.0-3.0-75.0,317.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
108,,html-keyboard-response,108,102378,0.0-3.0-76.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,161.74590350874337,,test,161.74590350874337,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
109,,html-keyboard-response,109,102881,0.0-3.0-77.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
110,,html-keyboard-response,110,104388,0.0-3.0-78.0,271.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div id = stim2></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,,nogo,"[',']",0.0,,,,,
111,,html-keyboard-response,111,105429,0.0-3.0-79.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,1035.5405547812807,,test,1035.5405547812807,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
112,,html-keyboard-response,112,105931,0.0-3.0-80.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
113,,html-keyboard-response,113,107438,0.0-3.0-81.0,325.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
114,,html-keyboard-response,114,107893,0.0-3.0-82.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,451.547082385785,,test,451.547082385785,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
115,,html-keyboard-response,115,108396,0.0-3.0-83.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
116,,html-keyboard-response,116,109903,0.0-3.0-84.0,347.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
117,,html-keyboard-response,117,110970,0.0-3.0-85.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,1061.378368376068,,test,1061.378368376068,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
118,,html-keyboard-response,118,111475,0.0-3.0-86.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
119,,html-keyboard-response,119,112981,0.0-3.0-87.0,,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div id = stim2></div></div></div></div></div>,,test_trial,1500.0,,test,1000.0,0.0,,nogo,"[',']",1.0,,,,,
120,,html-keyboard-response,120,114124,0.0-3.0-88.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,1137.9290146672972,,test,1137.9290146672972,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
121,,html-keyboard-response,121,114627,0.0-3.0-89.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
122,,html-keyboard-response,122,116133,0.0-3.0-90.0,406.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
123,,html-keyboard-response,123,116208,0.0-3.0-91.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,70.31374022679569,,test,70.31374022679569,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
124,,html-keyboard-response,124,116711,0.0-3.0-92.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
125,,html-keyboard-response,125,118218,0.0-3.0-93.0,438.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
126,,html-keyboard-response,126,118241,0.0-3.0-94.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,21.098194724676326,,test,21.098194724676326,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
127,,html-keyboard-response,127,118746,0.0-3.0-95.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
128,,html-keyboard-response,128,120251,0.0-3.0-96.0,327.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
129,,html-keyboard-response,129,121946,0.0-3.0-97.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,1694.4481531283297,,test,1694.4481531283297,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
130,,html-keyboard-response,130,122450,0.0-3.0-98.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
131,,html-keyboard-response,131,123956,0.0-3.0-99.0,359.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
132,,html-keyboard-response,132,124741,0.0-3.0-100.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,778.0894097905514,,test,778.0894097905514,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
133,,html-keyboard-response,133,125245,0.0-3.0-101.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
134,,html-keyboard-response,134,126751,0.0-3.0-102.0,350.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
