,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,condition,stim_color,stim_word,correct_response,choices,correct_trial,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
101,,html-keyboard-response,101,104573,0.0-3.0-81.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">red</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,red,red,.,"['.', ',', '/']",0,,,,,
102,,html-keyboard-response,102,105571,0.0-3.0-82.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,684.4967021769913,,test,0.0,684.4967021769913,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
103,,html-keyboard-response,103,106573,0.0-3.0-83.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
104,,html-keyboard-response,104,108573,0.0-3.0-84.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">blue</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,blue,blue,",","['.', ',', '/']",0,,,,,
105,,html-keyboard-response,105,109573,0.0-3.0-85.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,298.68892755744616,,test,0.0,298.68892755744616,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
106,,html-keyboard-response,106,110569,0.0-3.0-86.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
107,,html-keyboard-response,107,112569,0.0-3.0-87.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">green</div></div>",,test_trial,1500.0,,test,0.0,1000.0,incongruent,blue,green,",","['.', ',', '/']",0,,,,,
108,,html-keyboard-response,108,113572,0.0-3.0-88.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,780.5369946141349,,test,0.0,780.5369946141349,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
109,,html-keyboard-response,109,114573,0.0-3.0-89.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
110,,html-keyboard-response,110,116572,0.0-3.0-90.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">blue</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,blue,blue,",","['.', ',', '/']",0,,,,,
111,,html-keyboard-response,111,120938,0.0-3.0-91.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,2385.125497957601,,test,0.0,2385.125497957601,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
112,,html-keyboard-response,112,121440,0.0-3.0-92.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
113,,html-keyboard-response,113,122943,0.0-3.0-93.0,931.0,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">blue</div></div>",",",test_trial,1500.0,,test,0.0,1000.0,congruent,blue,blue,",","['.', ',', '/']",1,,,,,
114,,html-keyboard-response,114,123079,0.0-3.0-94.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,131.57602754501954,,test,0.0,131.57602754501954,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
115,,html-keyboard-response,115,123586,0.0-3.0-95.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
116,,html-keyboard-response,116,125091,0.0-3.0-96.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">blue</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,blue,blue,",","['.', ',', '/']",0,,,,,
117,,html-keyboard-response,117,125694,0.0-3.0-97.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,599.5971760362143,,test,0.0,599.5971760362143,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
118,,html-keyboard-response,118,126195,0.0-3.0-98.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
119,,html-keyboard-response,119,127702,0.0-3.0-99.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">blue</div></div>",,test_trial,1500.0,,test,0.0,1000.0,incongruent,red,blue,.,"['.', ',', '/']",0,,,,,
120,,html-keyboard-response,120,128018,0.0-3.0-100.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,309.3257904228268,,test,0.0,309.3257904228268,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
121,,html-keyboard-response,121,128524,0.0-3.0-101.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
122,,html-keyboard-response,122,130031,0.0-3.0-102.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">blue</div></div>",,test_trial,1500.0,,test,0.0,1000.0,incongruent,red,blue,.,"['.', ',', '/']",0,,,,,
123,,html-keyboard-response,123,130206,0.0-3.0-103.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,170.27958812976212,,test,0.0,170.27958812976212,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
124,,html-keyboard-response,124,130707,0.0-3.0-104.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
125,,html-keyboard-response,125,132210,0.0-3.0-105.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">red</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,red,red,.,"['.', ',', '/']",0,,,,,
126,,html-keyboard-response,126,132317,0.0-3.0-106.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,100.36016209186141,,test,0.0,100.36016209186141,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
