,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_id,exp_stage,block_num,stimulus_duration,CTI,cue_location,stim_location,condition,correct_response,choices,correct_trial,ITIParams,current_question,current_key_answer,attention_check_percent
333,,html-keyboard-response,333,245900,0.0-3.0-184.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,550.0,,,test,0.0,550.0,550.0,,,,,,,,,,
334,,html-keyboard-response,334,247407,0.0-3.0-185.0,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,both,left,doublecue,",","[',', '.']",0,,,,
335,,html-keyboard-response,335,247656,0.0-3.0-186.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,242.4481523735863,,,test,0.0,242.4481523735863,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
336,,html-keyboard-response,336,248160,0.0-3.0-187.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
337,,html-keyboard-response,337,248665,0.0-3.0-188.0,,"<div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
338,,html-keyboard-response,338,248772,0.0-3.0-189.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,100.0,,,test,0.0,100.0,100.0,,,,,,,,,,
339,,html-keyboard-response,339,250275,0.0-3.0-190.0,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,left,left,valid,",","[',', '.']",0,,,,
340,,html-keyboard-response,340,250656,0.0-3.0-191.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,374.0928857412057,,,test,0.0,374.0928857412057,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
341,,html-keyboard-response,341,251162,0.0-3.0-192.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
342,,html-keyboard-response,342,251666,0.0-3.0-193.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
343,,html-keyboard-response,343,252669,0.0-3.0-194.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,1000.0,,,test,0.0,1000.0,1000.0,,,,,,,,,,
344,,html-keyboard-response,344,254175,0.0-3.0-195.0,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,none,left,nocue,",","[',', '.']",0,,,,
345,,html-keyboard-response,345,254694,0.0-3.0-196.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,517.6888228940776,,,test,0.0,517.6888228940776,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
346,,html-keyboard-response,346,255199,0.0-3.0-197.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
