,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,condition,choices,stimulus_duration,correct_spatial_judgement_key,num_block,spatial_location,correct_trial,spatial_sequence,rt_each_spatial_location_response_grid,rt_total_response_grid,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
28,,html-keyboard-response,28,60954,0.0-3.0-13.0,,"<div class=""container""><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,0.0,,,,,,,,,
29,,html-keyboard-response,29,63960,0.0-3.0-14.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
30,,html-keyboard-response,30,64966,0.0-3.0-15.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,2.0,,,,,,,,,
31,,html-keyboard-response,31,67973,0.0-3.0-16.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
32,,html-keyboard-response,32,68980,0.0-3.0-17.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,11.0,,,,,,,,,
33,,html-keyboard-response,33,71987,0.0-3.0-18.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
34,,html-keyboard-response,34,72991,0.0-3.0-19.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,14.0,,,,,,,,,
35,,html-keyboard-response,35,77994,0.0-3.0-20.0,,"<div class=""container""><div class=""box""></div><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",[],test_response,5000.0,,test,0.0,simple,['NO_KEYS'],5000.0,,,,,"[0, 2, 11, 14]",[],0.0,,,,,
36,,html-keyboard-response,36,80307,0.0-3.0-21.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,2308.2719074894894,,test,0.0,,,2308.2719074894894,,,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,
37,,html-keyboard-response,37,83313,0.0-3.0-22.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
