,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,response_ends_trial,SS_stimulus,SS_trial_type,SS_duration,SSD,choices,correct_choice,stim,correct_response,currentTrial,condition,stop_acc,correct_trial,ITIParams,go_acc,current_question,current_key_answer,exp_id,attention_check_percent
593,,html-keyboard-response,593,495176,0.0-3.2-151.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,91.13075656045547,,test,2.0,91.13075656045547,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
594,,html-keyboard-response,594,495683,0.0-3.2-152.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
595,,poldracklab-stop-signal,595,497186,0.0-3.2-153.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,1000.0,"[',', '.']",,square,,51.0,stop,,1,,,,,,
596,,html-keyboard-response,596,498061,0.0-3.2-154.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,869.540299101851,,test,2.0,869.540299101851,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
597,,html-keyboard-response,597,498567,0.0-3.2-155.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
598,,poldracklab-stop-signal,598,500074,0.0-3.2-156.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,1000.0,"[',', '.']",,circle,,52.0,stop,,1,,,,,,
599,,html-keyboard-response,599,500178,0.0-3.2-157.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,102.83278515012782,,test,2.0,102.83278515012782,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
600,,html-keyboard-response,600,500683,0.0-3.2-158.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
601,,poldracklab-stop-signal,601,502188,0.0-3.2-159.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,square,.,53.0,go,,1,,0.0,,,,
602,,html-keyboard-response,602,502310,0.0-3.2-160.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,118.14479224634454,,test,2.0,118.14479224634454,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
603,,html-keyboard-response,603,502817,0.0-3.2-161.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
604,,poldracklab-stop-signal,604,504323,0.0-3.2-162.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,circle,",",54.0,go,,1,,0.0,,,,
605,,html-keyboard-response,605,504408,0.0-3.2-163.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,79.3750989861702,,test,2.0,79.3750989861702,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
606,,html-keyboard-response,606,504915,0.0-3.2-164.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
607,,poldracklab-stop-signal,607,506422,0.0-3.2-165.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,1000.0,"[',', '.']",,square,,55.0,stop,,1,,,,,,
608,,html-keyboard-response,608,506761,0.0-3.2-166.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,333.0434580842123,,test,2.0,333.0434580842123,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
609,,html-keyboard-response,609,507267,0.0-3.2-167.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
610,,poldracklab-stop-signal,610,508773,0.0-3.2-168.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,circle,",",56.0,go,,1,,0.0,,,,
611,,html-keyboard-response,611,509493,0.0-3.2-169.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,715.2995578404541,,test,2.0,715.2995578404541,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
612,,html-keyboard-response,612,509996,0.0-3.2-170.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
613,,poldracklab-stop-signal,613,511503,0.0-3.2-171.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,circle,",",57.0,go,,1,,0.0,,,,
614,,html-keyboard-response,614,513407,0.0-3.2-172.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,1902.7891438476663,,test,2.0,1902.7891438476663,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
615,,html-keyboard-response,615,513911,0.0-3.2-173.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
616,,poldracklab-stop-signal,616,515416,0.0-3.2-174.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,square,.,58.0,go,,1,,0.0,,,,
617,,html-keyboard-response,617,515522,0.0-3.2-175.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,100.09664829459828,,test,2.0,100.09664829459828,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
618,,html-keyboard-response,618,516026,0.0-3.2-176.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
619,,poldracklab-stop-signal,619,517533,0.0-3.2-177.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,1000.0,"[',', '.']",,square,,59.0,stop,,1,,,,,,
620,,html-keyboard-response,620,517625,0.0-3.2-178.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,85.7998579187104,,test,2.0,85.7998579187104,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
621,,html-keyboard-response,621,518128,0.0-3.2-179.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,2.0,500.0,,,,,,,,,,,,,,,,,,,
622,,poldracklab-stop-signal,622,519632,0.0-3.2-180.2,,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,,test_trial,1500.0,,test,2.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,1000.0,"[',', '.']",,circle,",",60.0,go,,1,,0.0,,,,
623,,html-keyboard-response,623,520083,0.0-3.2-181.2,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,445.5147602902911,,test,2.0,445.5147602902911,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
624,,html-keyboard-response,624,521369,0.0-4.0,1285.0,"
  <div class=""centerbox"">
    <p class=""center-block-text"">Thanks for completing this task!</p>
    <p class=""center-block-text"">Press <i>enter</i> to continue.</p>
  </div>
",enter,end,180000.0,,,,,,,,,,,,,,,,,,,,,,stop_signal_rdoc,0.0
625,True,fullscreen,625,522375,0.0-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
